"sentence","time","lat","NS","lon","EW","quality","satellites","dilution","altitude","height","speed"
"$GPGGA","2015-08-04 08:24:34",33.967095,"N",-83.4038483333333,"W","1",4,2.17,277.6,-31.4,0.77784
"$GPGGA","2015-08-04 08:24:35",33.9671066666667,"N",-83.4038433333334,"W","1",4,2.17,282,-31.4,0.66672
"$GPGGA","2015-08-04 08:24:36",33.9671066666667,"N",-83.4038316666667,"W","1",4,2.17,280.6,-31.4,0.77784
"$GPGGA","2015-08-04 08:24:37",33.96711,"N",-83.4038233333333,"W","1",4,2.17,278.8,-31.4,0.16668
"$GPGGA","2015-08-04 08:24:38",33.9671083333333,"N",-83.4038233333333,"W","1",4,2.17,278.1,-31.4,0.33336
"$GPGGA","2015-08-04 08:24:39",33.9671066666667,"N",-83.403825,"W","1",4,2.17,278,-31.4,0.40744
"$GPGGA","2015-08-04 08:24:40",33.96711,"N",-83.4038216666667,"W","1",4,2.17,277.3,-31.4,0.16668
"$GPGGA","2015-08-04 08:24:41",33.9671116666667,"N",-83.403825,"W","1",4,2.17,275.6,-31.4,0.42596
"$GPGGA","2015-08-04 08:24:42",33.9671116666667,"N",-83.4038233333333,"W","1",4,2.17,274.2,-31.4,0.25928
"$GPGGA","2015-08-04 08:24:43",33.9671133333333,"N",-83.403825,"W","1",4,2.16,273.6,-31.4,0.22224
"$GPGGA","2015-08-04 08:24:44",33.967115,"N",-83.4038283333333,"W","1",4,2.17,273,-31.4,0.463
"$GPGGA","2015-08-04 08:24:45",33.9671166666667,"N",-83.40383,"W","1",4,2.17,272.1,-31.4,0.66672
"$GPGGA","2015-08-04 08:24:46",33.9671183333333,"N",-83.40383,"W","1",4,2.16,271.2,-31.4,0.7408
"$GPGGA","2015-08-04 08:24:47",33.9671166666667,"N",-83.4038316666667,"W","1",4,2.16,270.5,-31.4,0.68524
"$GPGGA","2015-08-04 08:24:48",33.9671216666667,"N",-83.4038283333333,"W","1",4,2.22,270.4,-31.4,0.40744
"$GPGGA","2015-08-04 08:24:49",33.9671266666667,"N",-83.4038233333333,"W","1",4,2.16,270.8,-31.4,0.48152
"$GPGGA","2015-08-04 08:24:50",33.967125,"N",-83.40382,"W","1",5,1.74,270.8,-31.4,0.57412
"$GPGGA","2015-08-04 08:24:51",33.9671133333333,"N",-83.4038266666667,"W","1",5,1.89,265,-31.4,0.66672
"$GPGGA","2015-08-04 08:24:52",33.9671116666667,"N",-83.4038283333333,"W","1",5,1.89,262.5,-31.4,0.48152
"$GPGGA","2015-08-04 08:24:53",33.9671083333333,"N",-83.4038316666667,"W","1",5,1.74,261.3,-31.4,0.31484
"$GPGGA","2015-08-04 08:24:54",33.9671083333333,"N",-83.40383,"W","1",5,1.74,260.3,-31.4,0.12964
"$GPGGA","2015-08-04 08:24:55",33.9671066666667,"N",-83.40383,"W","1",5,1.74,259.1,-31.4,0.1852
"$GPGGA","2015-08-04 08:24:56",33.9671066666667,"N",-83.4038383333333,"W","1",5,1.74,258.4,-31.4,0.05556
"$GPGGA","2015-08-04 08:24:57",33.967105,"N",-83.40383,"W","1",5,1.74,257.5,-31.4,0.33336
"$GPGGA","2015-08-04 08:24:58",33.9671033333333,"N",-83.40383,"W","1",5,1.74,256.7,-31.4,0.0926
"$GPGGA","2015-08-04 08:24:59",33.9671016666667,"N",-83.40383,"W","1",5,1.74,256.2,-31.4,0.2778
"$GPGGA","2015-08-04 08:25:00",33.9671,"N",-83.4038283333333,"W","1",5,1.74,256.3,-31.4,0.24076
"$GPGGA","2015-08-04 08:25:01",33.9671,"N",-83.40382,"W","1",5,1.74,256.2,-31.4,0.35188
"$GPGGA","2015-08-04 08:25:02",33.9670966666667,"N",-83.4038233333333,"W","1",5,1.74,255.4,-31.4,0.42596
"$GPGGA","2015-08-04 08:25:03",33.9670916666667,"N",-83.403815,"W","1",5,1.74,255.3,-31.4,0.2778
"$GPGGA","2015-08-04 08:25:04",33.9670866666667,"N",-83.4038116666667,"W","1",5,1.74,254.1,-31.4,0.51856
"$GPGGA","2015-08-04 08:25:05",33.9670816666667,"N",-83.4038033333333,"W","1",5,1.73,253.5,-31.4,0.90748
"$GPGGA","2015-08-04 08:25:06",33.9670733333333,"N",-83.4038016666667,"W","1",5,1.73,253,-31.4,1.24084
"$GPGGA","2015-08-04 08:25:07",33.9670666666667,"N",-83.4037916666667,"W","1",5,1.73,253.4,-31.4,1.09268
"$GPGGA","2015-08-04 08:25:08",33.96706,"N",-83.4037916666667,"W","1",5,1.73,253.3,-31.4,1.35196
"$GPGGA","2015-08-04 08:25:09",33.9670516666667,"N",-83.40379,"W","1",5,1.73,252.8,-31.4,1.44456
"$GPGGA","2015-08-04 08:25:10",33.9670483333333,"N",-83.40379,"W","1",5,1.73,252.2,-31.4,1.64828
"$GPGGA","2015-08-04 08:25:11",33.967045,"N",-83.40379,"W","1",5,1.73,251.8,-31.4,0.72228
"$GPGGA","2015-08-04 08:25:12",33.9670416666667,"N",-83.4037916666667,"W","1",5,1.73,251.6,-31.4,0.50004
"$GPGGA","2015-08-04 08:25:13",33.96704,"N",-83.4037983333333,"W","1",5,1.73,251.3,-31.4,0.50004
"$GPGGA","2015-08-04 08:25:14",33.96704,"N",-83.4037983333333,"W","1",5,1.73,251.3,-31.4,0.12964
"$GPGGA","2015-08-04 08:25:15",33.96704,"N",-83.4037983333333,"W","1",5,1.73,251.3,-31.4,0.03704
"$GPGGA","2015-08-04 08:25:16",33.96704,"N",-83.4037983333333,"W","1",5,1.73,251.3,-31.4,0.01852
"$GPGGA","2015-08-04 08:25:17",33.96704,"N",-83.4037983333333,"W","1",5,1.88,251.3,-31.4,0.29632
"$GPGGA","2015-08-04 08:25:18",33.9670416666667,"N",-83.4037983333333,"W","1",5,1.73,251.3,-31.4,0.44448
"$GPGGA","2015-08-04 08:25:19",33.9670416666667,"N",-83.4038,"W","1",5,1.73,251.3,-31.4,0.35188
"$GPGGA","2015-08-04 08:25:20",33.9670433333333,"N",-83.4038,"W","1",5,1.73,251.3,-31.4,0.62968
"$GPGGA","2015-08-04 08:25:21",33.967045,"N",-83.4038,"W","1",5,1.73,251.3,-31.4,0.94452
"$GPGGA","2015-08-04 08:25:22",33.967045,"N",-83.4038,"W","1",5,1.73,251.3,-31.4,0.16668
"$GPGGA","2015-08-04 08:25:23",33.9670433333333,"N",-83.4038,"W","1",5,1.73,251.3,-31.4,0.88896
"$GPGGA","2015-08-04 08:25:24",33.9670416666667,"N",-83.4038,"W","1",5,1.73,251.3,-31.4,0.51856
"$GPGGA","2015-08-04 08:25:25",33.96704,"N",-83.4038,"W","1",5,1.73,251.3,-31.4,0.70376
"$GPGGA","2015-08-04 08:25:26",33.9670383333333,"N",-83.4038016666667,"W","1",5,1.73,251.3,-31.4,0.48152
"$GPGGA","2015-08-04 08:25:27",33.9670383333333,"N",-83.4038016666667,"W","1",5,1.73,251.2,-31.4,0.16668
"$GPGGA","2015-08-04 08:25:28",33.9670383333333,"N",-83.4038016666667,"W","1",5,1.73,251.2,-31.4,0.16668
"$GPGGA","2015-08-04 08:25:29",33.9670366666667,"N",-83.4038016666667,"W","1",5,1.73,251.2,-31.4,0.33336
"$GPGGA","2015-08-04 08:25:30",33.967025,"N",-83.4037983333333,"W","1",5,1.73,250.9,-31.4,1.22232
"$GPGGA","2015-08-04 08:25:31",33.967015,"N",-83.403795,"W","1",5,1.73,250.7,-31.4,2.70392
"$GPGGA","2015-08-04 08:25:32",33.9670033333333,"N",-83.4038,"W","1",5,1.73,250.4,-31.4,3.46324
"$GPGGA","2015-08-04 08:25:33",33.966975,"N",-83.403825,"W","1",5,1.73,250.3,-31.4,3.87068
"$GPGGA","2015-08-04 08:25:34",33.9669533333333,"N",-83.40383,"W","1",5,1.73,250.2,-31.4,6.83388
"$GPGGA","2015-08-04 08:25:35",33.9669166666667,"N",-83.403825,"W","1",5,1.87,250,-31.4,9.85264
"$GPGGA","2015-08-04 08:25:36",33.9668783333333,"N",-83.4037966666667,"W","1",5,1.87,249.9,-31.4,16.50132
"$GPGGA","2015-08-04 08:25:37",33.9668416666667,"N",-83.4037583333333,"W","1",5,1.73,249.8,-31.4,17.42732
"$GPGGA","2015-08-04 08:25:38",33.966805,"N",-83.4037183333333,"W","1",5,1.87,250,-31.4,18.39036
"$GPGGA","2015-08-04 08:25:39",33.96677,"N",-83.4036783333333,"W","1",5,1.73,250,-31.4,18.90892
"$GPGGA","2015-08-04 08:25:40",33.9667383333333,"N",-83.4036366666667,"W","1",5,1.73,250,-31.4,17.90884
"$GPGGA","2015-08-04 08:25:41",33.96671,"N",-83.403595,"W","1",5,1.73,250,-31.4,17.24212
"$GPGGA","2015-08-04 08:25:42",33.966685,"N",-83.4035583333333,"W","1",5,1.73,250.1,-31.4,16.40872
"$GPGGA","2015-08-04 08:25:43",33.966665,"N",-83.4035266666667,"W","1",5,1.73,250.2,-31.4,14.22336
"$GPGGA","2015-08-04 08:25:44",33.9666583333333,"N",-83.403495,"W","1",5,1.73,250,-31.4,10.8342
"$GPGGA","2015-08-04 08:25:45",33.9666583333333,"N",-83.40347,"W","1",5,1.73,249.9,-31.4,8.87108
"$GPGGA","2015-08-04 08:25:46",33.9666716666667,"N",-83.403435,"W","1",5,1.73,249.8,-31.4,8.96368
"$GPGGA","2015-08-04 08:25:47",33.966695,"N",-83.4033933333334,"W","1",5,1.73,249.7,-31.4,12.42692
"$GPGGA","2015-08-04 08:25:48",33.9667283333333,"N",-83.4033466666667,"W","1",5,1.73,249.4,-31.4,16.90876
"$GPGGA","2015-08-04 08:25:49",33.96677,"N",-83.4033016666667,"W","1",5,1.73,249.2,-31.4,20.26088
"$GPGGA","2015-08-04 08:25:50",33.9668183333333,"N",-83.4032416666667,"W","1",6,1.34,249.6,-31.4,21.33504
"$GPGGA","2015-08-04 08:25:51",33.9668666666667,"N",-83.40319,"W","1",6,1.34,249.9,-31.4,22.72404
"$GPGGA","2015-08-04 08:25:52",33.96691,"N",-83.4031466666667,"W","1",6,1.34,250.2,-31.4,22.18696
"$GPGGA","2015-08-04 08:25:53",33.9669516666667,"N",-83.403105,"W","1",6,1.34,250.2,-31.4,20.9276
"$GPGGA","2015-08-04 08:25:54",33.9669983333333,"N",-83.4030616666666,"W","1",6,1.34,250.3,-31.4,19.27932
"$GPGGA","2015-08-04 08:25:55",33.9670416666667,"N",-83.4030133333333,"W","1",6,1.34,250.4,-31.4,22.11288
"$GPGGA","2015-08-04 08:25:56",33.96709,"N",-83.4029666666667,"W","1",6,1.34,250.4,-31.4,23.7056
"$GPGGA","2015-08-04 08:25:57",33.9671383333333,"N",-83.4029183333333,"W","1",6,1.34,250.3,-31.4,24.52048
"$GPGGA","2015-08-04 08:25:58",33.9671883333333,"N",-83.4028683333333,"W","1",6,1.34,250.2,-31.4,24.57604
