"time","lat","lon","speed","angle","alt","satellites","pm_raw","pm_filt","voc"
2015-08-05 08:38:40,33.967,-83.4037,0.2,57.03,0,0,0,0.9,288.37
2015-08-05 08:38:42,33.967,-83.4037,0.2,57.19,0,0,11.9519,2.0052,283.48
2015-08-05 08:38:45,33.9671,-83.4037,0.91,62.53,0,0,3.9378,2.1985,278.59
2015-08-05 08:38:48,33.967,-83.4037,0.91,88.13,0,0,0,1.9786,278.59
2015-08-05 08:38:51,33.967,-83.4037,0.71,103.62,0,0,0,1.7808,273.7
2015-08-05 08:38:54,33.967,-83.4036,0.4,115.55,0,0,0,1.6027,273.7
2015-08-05 08:38:56,33.967,-83.4036,0.41,116.32,0,0,0,1.4424,268.82
2015-08-05 08:38:59,33.967,-83.4036,0.3,125.88,0,0,0.5447,1.3526,268.82
2015-08-05 08:39:02,33.967,-83.4036,0.1,54.71,0,0,0,1.2174,263.93
2015-08-05 08:39:05,33.967,-83.4036,0.51,87.49,0,0,0,1.0956,263.93
2015-08-05 08:39:08,33.967,-83.4036,0.32,118.94,0,0,0,0.9861,263.93
2015-08-05 08:39:11,33.967,-83.4036,0.44,84.92,0,0,0,0.8875,263.93
2015-08-05 08:39:13,33.967,-83.4036,0.37,100.32,0,0,0.1716,0.8159,263.93
2015-08-05 08:39:16,33.967,-83.4036,0.11,299.13,0,0,0,0.7343,263.93
2015-08-05 08:39:20,33.967,-83.4036,0.16,45.24,0,0,0.0892,0.6698,263.93
2015-08-05 08:39:23,33.967,-83.4036,0.03,224.75,0,0,0,0.6028,263.93
2015-08-05 08:39:26,33.967,-83.4036,0.07,55.36,0,0,0.0771,0.5502,259.04
2015-08-05 08:39:29,33.967,-83.4036,0.27,300.5,0,0,0,0.4952,259.04
2015-08-05 08:39:32,33.967,-83.4036,0.37,275.98,0,0,0,0.4457,259.04
2015-08-05 08:39:35,33.967,-83.4036,0.38,240.86,0,0,0,0.4011,259.04
2015-08-05 08:39:38,33.967,-83.4036,0.17,308.11,0,0,0,0.361,259.04
2015-08-05 08:39:41,33.967,-83.4036,0.17,238.7,0,0,0,0.3249,259.04
2015-08-05 08:39:44,33.967,-83.4036,0.36,192.4,0,0,0,0.2924,254.15
2015-08-05 08:39:47,33.967,-83.4036,0.3,200.12,0,0,0,0.2632,254.15
2015-08-05 08:39:49,33.967,-83.4036,0.23,219.21,0,0,0,0.2369,254.15
2015-08-05 08:39:53,33.967,-83.4036,0.4,241.55,0,0,0.1175,0.2249,254.15
2015-08-05 08:39:56,33.967,-83.4036,0.17,337.35,0,0,0,0.2024,254.15
2015-08-05 08:39:58,33.967,-83.4036,0.07,260.19,0,0,0,0.1822,254.15
2015-08-05 08:40:02,33.967,-83.4036,0.55,273.08,0,0,0.2996,0.1939,254.15
2015-08-05 08:40:04,33.967,-83.4036,0.76,292.38,0,0,0.3696,0.2115,254.15
2015-08-05 08:40:07,33.9669,-83.4037,0.2,351.55,0,0,0,0.1903,254.15
2015-08-05 08:40:10,33.9669,-83.4037,0.3,107.08,0,0,0.2621,0.1975,259.04
2015-08-05 08:40:12,33.9669,-83.4037,0.16,108.19,0,0,0,0.1778,259.04
2015-08-05 08:40:15,33.9669,-83.4037,0.14,98.81,0,0,0,0.16,259.04
2015-08-05 08:40:18,33.9669,-83.4037,0.12,152.18,0,0,0,0.144,254.15
2015-08-05 08:40:21,33.9669,-83.4037,0.24,176.95,0,0,0,0.1296,254.15
2015-08-05 08:40:24,33.9669,-83.4037,0.4,286.25,0,0,0.0799,0.1246,254.15
2015-08-05 08:40:27,33.9669,-83.4037,0.35,260.11,0,0,0.1131,0.1235,254.15
2015-08-05 08:40:29,33.9669,-83.4037,0.27,256.18,0,0,0.1744,0.1286,254.15
2015-08-05 08:40:32,33.9669,-83.4037,0.49,213.47,240.1,8,0.1232,0.128,254.15
2015-08-05 08:40:35,33.9669,-83.4037,0.09,199.24,240.1,8,0.0141,0.1166,254.15
2015-08-05 08:40:38,33.9669,-83.4037,0.14,219.05,240.1,8,0,0.105,254.15
2015-08-05 08:40:40,33.9669,-83.4037,0.17,129.84,240.1,8,0.1057,0.105,254.15
2015-08-05 08:40:43,33.9669,-83.4037,0.13,153.12,240.1,8,2e-04,0.0946,254.15
2015-08-05 08:40:45,33.9669,-83.4037,0.16,160.02,240.1,8,0,0.0851,254.15
2015-08-05 08:40:49,33.9669,-83.4037,0.13,111.87,240.1,8,0.0898,0.0856,254.15
2015-08-05 08:40:52,33.9669,-83.4037,0.36,132.68,240.1,8,0.0763,0.0846,254.15
2015-08-05 08:40:54,33.9669,-83.4037,0.42,123.36,240.1,8,0.0936,0.0855,254.15
2015-08-05 08:40:57,33.9669,-83.4037,0.21,135.11,240.1,8,0,0.077,254.15
2015-08-05 08:41:01,33.9669,-83.4037,0.42,108.14,240.1,8,0.0992,0.0792,254.15
2015-08-05 08:41:03,33.9669,-83.4037,0.39,98.86,240.1,8,0.0828,0.0796,254.15
2015-08-05 08:41:06,33.9669,-83.4037,0.44,121.43,240.1,8,0,0.0716,254.15
2015-08-05 08:41:09,33.9669,-83.4037,0.47,101.23,240.1,8,0,0.0644,254.15
2015-08-05 08:41:12,33.9669,-83.4037,0.16,146.12,240.1,8,0.0619,0.0642,254.15
2015-08-05 08:41:15,33.9669,-83.4037,0.47,157.27,240.1,8,0,0.0578,254.15
2015-08-05 08:41:17,33.9669,-83.4037,0.35,148.75,240.1,8,0,0.052,254.15
2015-08-05 08:41:20,33.9669,-83.4037,0.34,195.24,240.1,8,0,0.0468,254.15
2015-08-05 08:41:23,33.9669,-83.4037,0.13,216.62,240.1,8,0,0.0421,254.15
2015-08-05 08:41:26,33.9669,-83.4037,0.29,217.3,240.1,8,0,0.0379,254.15
