time	X	lat	lon	speed	angle	alt	satellites	pm_raw	pm_filt	voc
2015-08-05	21:14:26	33.9566	-83.3782	0.03	343.97	0	10	0.0549	0.0348	122.19
2015-08-05	21:14:28	33.9566	-83.3782	0.01	343.97	247.7	9	0.1314	0.0444	117.3
2015-08-05	21:14:32	33.9566	-83.3782	0.01	343.97	247.7	9	0.0601	0.046	117.3
2015-08-05	21:14:35	33.9567	-83.3782	1.52	343.97	247.7	9	0.0415	0.0456	117.3
2015-08-05	21:14:38	33.9566	-83.3782	2.57	181.92	247.7	9	0	0.041	122.19
2015-08-05	21:14:40	33.9566	-83.3782	0.07	181.92	247.7	9	0.0531	0.0422	117.3
2015-08-05	21:14:44	33.9566	-83.3782	0	181.92	247.7	9	0	0.038	117.3
2015-08-05	21:14:46	33.9566	-83.3782	0	181.92	247.7	9	0.0115	0.0353	117.3
2015-08-05	21:14:48	33.9566	-83.3782	0	181.92	247.7	9	0.0794	0.0398	117.3
2015-08-05	21:14:52	33.9566	-83.3782	0	181.92	247.7	9	0.0204	0.0378	117.3
2015-08-05	21:14:56	33.9566	-83.3782	0	181.92	247.7	9	0.0047	0.0345	117.3
2015-08-05	21:14:58	33.9566	-83.3782	0	181.92	247.7	9	0	0.0311	117.3
2015-08-05	21:15:02	33.9566	-83.3782	0	181.92	247.7	9	0.039	0.0319	117.3
2015-08-05	21:15:04	33.9566	-83.3782	0	181.92	247.7	9	0.0666	0.0353	117.3
2015-08-05	21:15:08	33.9566	-83.3782	0	181.92	247.7	9	0.0633	0.0381	112.41
2015-08-05	21:15:11	33.9566	-83.3782	0	181.92	247.7	9	0.0667	0.041	112.41
2015-08-05	21:15:14	33.9566	-83.3782	0	181.92	247.7	9	0	0.0369	112.41
2015-08-05	21:15:16	33.9566	-83.3782	4.32	337.46	247.7	9	0.0249	0.0357	112.41
2015-08-05	21:15:20	33.9568	-83.3782	9.27	333.2	247.7	9	0.0344	0.0356	117.3
2015-08-05	21:15:24	33.9569	-83.3785	13.67	269	244	9	0.0401	0.036	117.3
2015-08-05	21:15:27	33.9569	-83.3787	16.85	250.73	244	9	0	0.0324	112.41
2015-08-05	21:15:30	33.9568	-83.379	17.15	255.25	244	9	0.0166	0.0308	107.53
2015-08-05	21:15:34	33.9568	-83.3794	15.78	255.6	244	9	0.0226	0.03	112.41
2015-08-05	21:15:36	33.9567	-83.3796	10.83	254.26	244	9	0.0708	0.0341	117.3
2015-08-05	21:15:39	33.9567	-83.3796	4.74	266.26	244	9	0.0183	0.0325	122.19
2015-08-05	21:15:42	33.9567	-83.3798	8.89	282.82	244	9	0.0277	0.032	122.19
2015-08-05	21:15:44	33.9569	-83.3799	13.91	349.49	244	9	0.0088	0.0297	122.19
2015-08-05	21:15:47	33.957	-83.3799	13.69	344.25	244	9	0.0152	0.0283	122.19
2015-08-05	21:15:50	33.9572	-83.38	13.9	352.57	238.7	9	0.0606	0.0315	122.19
2015-08-05	21:15:52	33.9573	-83.38	13.46	353.83	238.7	9	0.063	0.0346	122.19
2015-08-05	21:15:55	33.9575	-83.38	14.16	344.9	238.7	9	0.0472	0.0359	122.19
2015-08-05	21:15:58	33.9577	-83.3801	13.22	346.03	238.7	9	0.0096	0.0333	117.3
2015-08-05	21:16:02	33.9579	-83.3802	12.91	343.01	238.7	9	0.0291	0.0328	117.3
2015-08-05	21:16:04	33.9581	-83.3803	13.85	343.61	238.7	9	0.0117	0.0307	122.19
2015-08-05	21:16:07	33.9582	-83.3803	12.12	346.2	242	10	0.0436	0.032	122.19
2015-08-05	21:16:10	33.9584	-83.3804	11.6	348.82	243.8	10	0.0181	0.0306	122.19
2015-08-05	21:16:12	33.9585	-83.3804	9.1	341.48	243.8	10	0.0287	0.0304	122.19
2015-08-05	21:16:16	33.9586	-83.3804	5.64	347.86	243.8	10	0.0026	0.0277	122.19
2015-08-05	21:16:18	33.9586	-83.3804	4.05	352.63	243.8	10	0.0315	0.028	122.19
2015-08-05	21:16:20	33.9587	-83.3805	1.75	346.98	243.8	10	0	0.0252	122.19
2015-08-05	21:16:24	33.9587	-83.3805	0.25	346.98	243.8	10	0.0303	0.0257	122.19
2015-08-05	21:16:27	33.9588	-83.3805	6.98	342.92	244.4	10	0.0792	0.0311	117.3
