time, lat, lon, speed, angle, alt, satellites, pm_raw, pm_filt, voc
2015-8-11 13:41:14, 33.9509, -83.3742, 19.95, 177.65, 0.00, 0, 0.0000, 0.9000, 425.22
2015-8-11 13:41:17, 33.9507, -83.3742, 20.40, 191.16, 0.00, 0, 0.0000, 0.8100, 425.22
2015-8-11 13:41:20, 33.9504, -83.3743, 20.86, 206.46, 0.00, 0, 7.4758, 1.4766, 444.77
2015-8-11 13:41:22, 33.9502, -83.3744, 23.25, 203.55, 0.00, 0, 3.5016, 1.6791, 454.55
2015-8-11 13:41:25, 33.9499, -83.3746, 23.05, 204.54, 0.00, 0, 0.0000, 1.5112, 444.77
2015-8-11 13:41:29, 33.9495, -83.3749, 23.24, 217.93, 0.00, 0, 0.8258, 1.4426, 439.88
2015-8-11 13:41:31, 33.9494, -83.3750, 20.94, 224.31, 0.00, 0, 0.2667, 1.3250, 444.77
2015-8-11 13:41:34, 33.9492, -83.3753, 17.52, 235.48, 0.00, 0, 0.8218, 1.2747, 449.66
2015-8-11 13:41:36, 33.9492, -83.3754, 13.30, 248.19, 0.00, 0, 3.0201, 1.4493, 454.55
2015-8-11 13:41:39, 33.9491, -83.3756, 6.95, 246.67, 0.00, 0, 1.9740, 1.5017, 454.55
2015-8-11 13:41:42, 33.9491, -83.3757, 0.06, 244.48, 0.00, 0, 1.7680, 1.5284, 449.66
2015-8-11 13:41:44, 33.9491, -83.3757, 0.33, 244.48, 0.00, 0, 1.5649, 1.5320, 449.66
2015-8-11 13:41:48, 33.9491, -83.3757, 2.79, 220.11, 0.00, 0, 2.2872, 1.6075, 435.00
2015-8-11 13:41:51, 33.9491, -83.3756, 6.61, 91.94, 0.00, 0, 0.0000, 1.4468, 435.00
2015-8-11 13:41:54, 33.9490, -83.3755, 7.77, 97.60, 0.00, 0, 0.7633, 1.3784, 435.00
2015-8-11 13:41:56, 33.9490, -83.3754, 8.00, 91.63, 0.00, 0, 1.0085, 1.3414, 435.00
2015-8-11 13:41:59, 33.9490, -83.3753, 8.28, 94.41, 218.80, 10, 1.0876, 1.3161, 435.00
2015-8-11 13:42:2, 33.9490, -83.3751, 8.45, 93.74, 218.80, 10, 2.6729, 1.4518, 435.00
2015-8-11 13:42:4, 33.9491, -83.3750, 9.50, 99.31, 218.80, 10, 2.5182, 1.5584, 435.00
2015-8-11 13:42:7, 33.9490, -83.3749, 9.92, 99.50, 218.80, 10, 0.5053, 1.4531, 439.88
2015-8-11 13:42:10, 33.9490, -83.3747, 8.86, 95.27, 218.80, 10, 0.7859, 1.3864, 439.88
2015-8-11 13:42:13, 33.9490, -83.3746, 8.52, 102.33, 218.80, 10, 0.0000, 1.2477, 420.33
2015-8-11 13:42:16, 33.9490, -83.3744, 9.35, 105.05, 218.80, 10, 0.0000, 1.1230, 410.56
2015-8-11 13:42:19, 33.9490, -83.3743, 8.74, 118.67, 218.80, 10, 0.0000, 1.0107, 400.78
2015-8-11 13:42:23, 33.9489, -83.3741, 8.07, 119.72, 218.80, 10, 0.1422, 0.9238, 410.56
2015-8-11 13:42:24, 33.9489, -83.3740, 8.36, 121.83, 218.80, 10, 0.8803, 0.9195, 415.44
2015-8-11 13:42:27, 33.9489, -83.3739, 8.30, 119.65, 218.80, 10, 0.6754, 0.8951, 425.22
2015-8-11 13:42:30, 33.9488, -83.3738, 6.37, 116.96, 218.80, 10, 1.7643, 0.9820, 425.22
2015-8-11 13:42:32, 33.9488, -83.3737, 7.76, 102.93, 218.80, 10, 0.0000, 0.8838, 410.56
2015-8-11 13:42:35, 33.9488, -83.3737, 7.64, 45.63, 218.80, 10, 0.6435, 0.8598, 415.44
2015-8-11 13:42:39, 33.9488, -83.3737, 3.12, 25.66, 218.80, 10, 0.6212, 0.8359, 415.44
2015-8-11 13:42:43, 33.9488, -83.3738, 0.29, 25.66, 218.80, 10, 0.2295, 0.7753, 415.44
2015-8-11 13:42:46, 33.9488, -83.3738, 4.81, 275.78, 218.80, 10, 0.4557, 0.7433, 415.44
2015-8-11 13:42:48, 33.9488, -83.3738, 2.92, 289.94, 218.80, 10, 0.9810, 0.7671, 415.44
2015-8-11 13:42:52, 33.9488, -83.3738, 0.02, 289.94, 218.80, 10, 0.0000, 0.6904, 410.56
2015-8-11 13:42:55, 33.9488, -83.3738, 0.00, 289.94, 218.80, 10, 0.1400, 0.6353, 405.67
2015-8-11 13:42:58, 33.9488, -83.3738, 0.02, 289.94, 218.80, 10, 0.0000, 0.5718, 400.78
2015-8-11 13:43:0, 33.9488, -83.3738, 0.03, 289.94, 218.80, 10, 0.0000, 0.5146, 391.01
2015-8-11 13:43:4, 33.9488, -83.3738, 0.04, 289.94, 218.80, 10, 0.0000, 0.4631, 381.23
2015-8-11 13:43:7, 33.9488, -83.3739, 0.05, 289.94, 218.80, 10, 0.0000, 0.4168, 381.23
2015-8-11 13:43:10, 33.9488, -83.3739, 0.05, 289.94, 218.80, 10, 0.0000, 0.3752, 366.57
2015-8-11 13:43:12, 33.9488, -83.3739, 0.05, 289.94, 218.80, 10, 0.0000, 0.3376, 366.57
2015-8-11 13:43:16, 33.9488, -83.3739, 0.53, 289.94, 218.80, 10, 0.0000, 0.3039, 361.68
2015-8-11 13:43:19, 33.9488, -83.3739, 0.53, 289.94, 218.80, 10, 0.0000, 0.2735, 356.79
2015-8-11 13:43:22, 33.9488, -83.3739, 0.51, 289.94, 218.80, 10, 0.0258, 0.2487, 351.91
2015-8-11 13:43:24, 0.0000, 0.2238, 347.02
2015-8-11 13:43:28, 0.0009, 0.2016, 347.02
2015-8-11 13:43:30, 0.0514, 0.1865, 342.13
2015-8-11 13:43:34, 33.9487, -83.3742, 0.85, 279.18, 240.80, 4, 0.0001, 0.1679, 342.13
2015-8-11 13:43:36, 33.9487, -83.3742, 0.73, 292.60, 240.80, 4, 0.0000, 0.1511, 337.24
