time, lat, lon, speed, angle, alt, satellites, pm_raw, pm_filt, voc
2015-8-13 21:57:37, 33.9489, -83.3744, 6.43, 279.77, 0.00, 0, 0.0000, 0.5883, 3831.87
2015-8-13 21:57:39, 33.9489, -83.3745, 7.48, 283.66, 0.00, 0, 0.0000, 0.5295, 3831.87
2015-8-13 21:57:40, 33.9489, -83.3746, 7.78, 284.16, 0.00, 0, 0.0000, 0.4765, 3831.87
2015-8-13 21:57:42, 33.9489, -83.3746, 7.60, 274.69, 0.00, 0, 0.2759, 0.4565, 3831.87
2015-8-13 21:57:44, 33.9489, -83.3748, 7.98, 275.35, 224.60, 8, 0.6420, 0.4750, 3836.75
2015-8-13 21:57:46, 33.9489, -83.3748, 8.35, 261.51, 224.60, 8, 0.0000, 0.4275, 3836.75
2015-8-13 21:57:48, 33.9489, -83.3749, 9.79, 273.65, 224.60, 8, 0.5258, 0.4373, 3831.87
2015-8-13 21:57:48, 33.9489, -83.3750, 9.36, 263.29, 224.60, 8, 0.0000, 0.3936, 3831.87
2015-8-13 21:57:51, 33.9488, -83.3750, 7.67, 258.46, 224.60, 8, 0.1346, 0.3677, 3831.87
2015-8-13 21:57:52, 33.9488, -83.3751, 8.18, 271.35, 224.60, 8, 0.0000, 0.3309, 3826.98
2015-8-13 21:57:54, 33.9488, -83.3752, 7.84, 264.04, 224.60, 8, 0.0270, 0.3005, 3826.98
2015-8-13 21:57:55, 33.9488, -83.3752, 6.96, 259.50, 224.60, 8, 0.3971, 0.3102, 3826.98
2015-8-13 21:57:56, 33.9488, -83.3753, 2.46, 267.89, 224.60, 8, 0.0000, 0.2792, 3826.98
2015-8-13 21:57:59, 33.9488, -83.3753, 2.87, 267.89, 224.60, 8, 0.2513, 0.2764, 3826.98
2015-8-13 21:58:0, 33.9488, -83.3753, 3.46, 6.71, 224.60, 8, 0.0000, 0.2488, 3826.98
2015-8-13 21:58:2, 33.9489, -83.3753, 5.10, 49.40, 224.60, 8, 0.0000, 0.2239, 3831.87
